Recency,Frequency,Monetary,cluster_final
325,1,77183.6,1
1,7,4310.0,0
74,4,1797.24,0
18,1,1757.55,0
309,1,334.40000000000003,1
35,8,2506.04,0
203,1,89.0,1
231,1,1079.4,1
213,1,459.40000000000003,1
22,3,2811.43,0
32,1,6207.67,0
1,2,1168.06,0
57,4,6372.58,0
51,3,2662.06,0
286,1,189.9,1
2,10,5226.2300000000005,0
109,2,552.0,0
7,4,1313.1,0
290,2,641.38,1
3,1,168.9,0
50,4,3545.69,0
44,2,1887.96,0
71,3,1298.04,0
310,1,364.6,1
24,1,742.9300000000001,0
10,2,457.5,0
314,2,1628.1200000000001,1
129,1,4008.62,0
81,2,852.24,0
21,4,2724.81,0
4,5,1845.31,0
184,5,1850.56,1
28,2,585.27,0
337,2,401.9,1
15,6,2780.6600000000003,0
79,1,549.84,0
21,1,460.89,0
71,4,1582.6000000000001,0
63,2,1272.48,0
18,12,3018.63,0
35,2,2409.9,0
45,1,1635.6599999999999,0
118,4,1108.65,0
302,1,84.3,1
322,1,225.60000000000002,1
49,1,427.7,0
148,1,1710.39,1
21,2,3415.3,0
49,5,1708.12,0
32,5,2888.55,0
78,3,11072.67,0
308,2,693.33,1
74,3,1226.88,0
66,3,758.1,0
216,3,562.4100000000001,1
23,21,124914.53,2
2,9,3649.1,0
112,1,668.58,0
63,1,600.39,0
15,4,807.04,0
95,3,803.5600000000001,0
0,8,1859.31,0
162,2,1760.96,1
77,1,777.2,0
194,1,582.73,1
21,3,825.8000000000001,0
25,9,7956.46,0
8,4,3750.4,0
42,1,256.4,0
35,15,6487.45,0
42,5,5059.32,0
0,7,13375.87,0
84,2,806.14,0
79,2,7829.89,0
99,1,509.01,0
1,18,4951.41,0
13,2,2906.85,0
366,1,173.55,1
2,1,172.06,0
20,5,5005.46,0
21,1,133.4,0
57,1,1002.3100000000001,0
242,1,476.49,1
43,1,449.45,0
21,4,4067.29,0
155,2,197.88,1
10,5,9035.52,0
16,2,430.57000000000005,0
133,1,707.09,0
55,1,3528.34,0
72,6,2466.86,0
43,3,3181.04,0
65,7,2363.23,0
70,2,947.4,0
93,2,826.88,0
18,2,1189.59,0
52,4,1344.78,0
9,8,1212.05,0
16,2,742.19,0
187,2,729.54,1
1,30,19824.05,0
31,7,6572.11,0
28,5,3938.55,0
16,18,7375.79,0
53,1,723.38,0
15,11,6816.42,0
22,6,13219.74,0
3,1,680.99,0
10,1,527.2,0
27,4,3281.63,0
22,10,5596.32,0
16,8,2484.98,0
32,6,4541.72,0
9,3,1298.66,0
335,1,334.93,1
4,10,5417.93,0
38,1,460.40000000000003,0
62,2,263.21000000000004,0
165,2,433.74,1
15,7,1246.1,0
81,1,1043.1,0
20,3,403.70000000000005,0
22,11,4257.82,0
336,1,2169.39,1
95,5,3723.87,0
17,2,482.04999999999995,0
232,1,73.5,1
133,3,1304.81,0
25,2,398.27,0
283,1,176.5,1
142,2,982.5699999999999,1
65,2,138.03,0
112,1,612.29,0
266,1,1017.6800000000001,1
352,1,383.7,1
77,2,1312.06,0
27,5,2502.84,0
0,5,2056.89,0
63,1,340.84000000000003,0
78,5,2634.26,0
142,1,599.68,1
38,2,192.72,0
18,11,1789.77,0
8,8,4485.72,0
0,3,1316.66,0
81,3,348.71000000000004,0
8,6,1933.48,0
59,4,1662.28,0
14,1,125.22,0
29,1,349.83000000000004,0
130,1,1089.18,0
91,2,716.35,0
42,3,12601.830000000002,0
28,1,363.95,0
21,4,5568.35,0
19,17,13400.24,0
29,3,981.18,0
35,1,372.7,0
74,2,1000.39,0
46,2,1161.5,0
197,2,207.8,1
165,1,95.19999999999999,1
78,1,964.83,0
357,1,168.0,1
38,2,437.82,0
7,10,3692.28,0
49,2,603.71,0
15,5,11990.960000000001,0
7,1,269.96,0
310,2,561.71,1
4,3,2134.01,0
302,1,238.85,1
7,7,3781.7400000000002,0
260,1,456.90000000000003,1
288,1,145.92000000000002,1
85,1,351.65,0
22,10,9401.28,0
1,32,4124.6900000000005,0
39,2,519.61,0
8,2,1020.4200000000001,0
226,1,160.54000000000002,1
315,1,218.45000000000002,1
35,5,1315.83,0
34,3,657.8,0
20,2,2794.51,0
77,1,440.42,0
246,1,415.7,1
39,1,197.71,0
238,2,511.36,1
2,15,7281.38,0
3,9,2338.15,0
233,2,2040.1,1
16,1,196.94000000000003,0
7,1,144.0,0
38,1,214.89999999999998,0
28,2,646.68,0
210,2,9864.26,1
316,1,452.84999999999997,1
91,2,437.6,0
108,3,418.1,0
37,10,3338.2200000000003,0
50,2,618.27,0
18,4,3811.22,0
9,8,3023.08,0
28,7,1032.58,0
28,10,2599.04,0
189,5,577.0600000000001,1
58,1,153.12,0
21,1,739.1999999999999,0
78,2,254.18,0
59,1,1579.51,0
77,3,1126.85,0
22,5,2099.54,0
51,1,1193.32,0
73,1,704.04,0
56,5,3344.38,0
277,1,315.6,1
1,4,2291.19,0
94,2,713.3,0
28,1,355.53000000000003,0
21,1,177.31,0
15,9,3641.24,0
14,3,1339.41,0
1,20,13689.67,0
231,1,180.1,1
275,1,305.1,1
105,2,641.13,0
211,2,2683.82,1
22,9,6620.4800000000005,0
10,7,4478.53,0
3,3,786.46,0
9,2,1270.88,0
56,1,640.5,0
58,4,2163.98,0
89,2,1689.18,0
66,8,6021.9,0
32,1,671.69,0
238,1,486.1,1
23,3,1174.58,0
114,1,185.9,0
24,3,1013.26,0
127,6,3344.64,0
129,1,477.90999999999997,0
33,4,1775.18,0
4,2,1346.97,0
21,12,3722.82,0
154,1,318.05,1
106,3,623.51,0
2,1,314.44,0
334,1,114.0,1
330,1,919.98,1
148,2,2209.85,1
10,5,601.98,0
16,5,4051.17,0
10,4,1643.18,0
18,1,686.05,0
29,1,91.68,0
10,1,245.10000000000002,0
0,11,3849.78,0
7,9,4881.88,0
324,1,63.0,1
57,1,620.13,0
11,4,3807.15,0
150,3,2744.0299999999997,1
9,5,2996.05,0
329,1,225.9,1
4,2,610.52,0
38,4,1970.6,0
24,6,1331.39,0
41,12,17628.46,0
58,4,1113.02,0
0,4,862.81,0
14,22,13787.54,0
3,31,12288.22,0
3,15,8476.57,0
7,7,2283.63,0
27,6,2863.08,0
371,1,89.14,1
113,1,4873.81,0
25,2,1247.6100000000001,0
205,1,389.01,1
27,6,1035.8,0
126,4,855.91,0
69,2,869.67,0
6,4,582.1,0
28,3,957.59,0
7,4,4939.99,0
79,2,797.71,0
19,1,219.0,0
70,1,283.55,0
6,8,2340.84,0
14,9,6868.29,0
291,1,603.42,1
29,10,2712.91,0
14,15,9736.52,0
96,3,1149.02,0
28,13,4396.13,0
0,1,848.55,0
8,5,4708.86,0
105,1,353.86,0
3,2,1053.49,0
150,2,1030.98,1
70,1,238.25,0
4,2,644.95,0
2,25,5781.7300000000005,0
31,6,2656.13,0
84,4,997.63,0
3,5,725.07,0
4,4,1031.41,0
370,1,427.8,1
27,7,2609.1,0
10,7,3980.7000000000003,0
70,4,836.33,0
113,1,453.01,0
23,12,18895.91,0
179,1,236.26000000000002,1
233,1,383.95,1
352,1,110.39999999999999,1
314,2,779.5699999999999,1
332,1,234.0,1
371,1,155.35,1
77,2,1013.04,0
63,1,427.6,0
133,2,546.43,0
51,7,21279.29,0
1,11,4196.01,0
0,209,33719.73,2
3,5,4090.88,0
128,1,275.88,0
80,1,4366.78,0
22,6,21429.39,0
235,3,3010.74,1
280,2,3811.9500000000003,1
86,1,112.08,0
15,13,7857.1,0
116,2,2791.59,0
51,3,1531.44,0
7,2,1898.52,0
137,2,494.08,0
316,1,1693.88,1
3,7,6989.63,0
238,1,1143.6,1
210,1,1351.45,1
59,1,892.47,0
16,5,1386.04,0
19,6,822.23,0
37,8,3981.36,0
63,2,826.74,0
4,5,2330.92,0
1,6,2225.91,0
8,2,574.42,0
363,1,311.95,1
9,3,463.66,0
64,1,91.85,0
191,1,324.92,1
373,1,192.60000000000002,1
256,1,400.54,1
334,2,545.48,1
52,2,860.41,0
18,1,430.48,0
365,1,254.03,1
9,3,6977.04,0
186,1,427.58,1
36,3,483.65000000000003,0
177,1,489.31,1
260,3,514.85,1
44,1,229.64000000000001,0
101,1,125.92,0
147,2,1063.46,1
95,2,572.2,0
280,1,166.04000000000002,1
261,1,1542.08,1
2,4,942.34,0
213,1,92.72,1
70,2,948.88,0
74,5,1759.5,0
59,1,397.12,0
2,7,1474.72,0
5,3,430.15,0
2,6,1018.71,0
336,2,293.0,1
37,6,6814.64,0
261,1,215.05,1
31,2,383.03000000000003,0
144,1,417.38,1
282,1,312.38,1
58,4,2612.86,0
172,1,134.1,1
33,2,683.13,0
2,14,5591.42,0
143,4,2726.77,0
4,25,4022.35,0
69,2,1118.99,0
65,8,1702.26,0
28,2,325.96000000000004,0
266,4,354.09000000000003,1
21,1,871.54,0
30,2,1050.89,0
96,1,135.18,0
294,1,311.55,1
134,6,1957.1000000000001,0
78,3,1324.5,0
372,1,38.1,1
7,6,2179.93,0
210,2,1106.4,1
51,1,521.2,0
137,1,147.12,1
25,2,1568.23,0
282,1,559.12,1
25,7,4036.82,0
185,6,1607.0600000000002,1
83,2,380.64,0
326,2,599.97,1
281,1,374.0,1
142,2,343.2300000000001,1
57,2,2218.02,0
3,12,1535.77,0
235,2,854.99,1
44,3,573.22,0
275,1,298.0,1
8,2,1463.04,0
24,4,703.47,0
87,1,309.05,0
62,3,1175.22,0
67,2,1378.4,0
213,2,354.12,1
23,1,380.46999999999997,0
185,3,331.0,1
30,1,188.14,0
41,2,372.8,0
204,2,216.5,1
8,28,17654.54,0
264,1,138.68,1
17,2,509.58,0
11,5,2919.81,0
175,2,750.0,1
39,5,2178.67,0
22,8,3075.04,0
2,5,1662.3,0
4,5,2483.63,0
148,2,363.65,1
138,4,3006.15,0
127,1,594.0,0
7,6,1335.19,0
16,1,164.23,0
8,37,16587.09,0
160,1,405.38,1
63,1,176.97,0
87,4,933.7,0
4,2,694.05,0
34,5,2062.7,0
311,1,117.85,1
77,2,415.8,0
21,15,42055.96,0
23,3,607.53,0
1,7,2160.7,0
16,4,1063.9,0
14,4,1504.27,0
25,1,114.14,0
63,8,11581.8,0
54,2,913.54,0
130,3,683.9,0
35,2,604.51,0
287,1,462.95,1
143,6,1603.99,0
15,7,2064.95,0
30,8,4167.22,0
1,3,1843.0,0
8,6,1064.07,0
5,4,1387.79,0
9,1,329.85,0
0,11,4757.16,0
305,1,108.07,1
9,8,4017.54,0
6,2,266.39,0
7,8,1856.63,0
88,1,771.91,0
9,1,160.18,0
357,2,1660.9,1
111,1,135.95,0
6,4,452.24,0
3,86,11189.91,0
197,1,144.8,1
211,1,738.6,1
155,1,39.239999999999995,1
157,9,7374.900000000001,0
29,2,372.21999999999997,0
242,1,390.54,1
18,1,97.5,0
0,2,1239.38,0
73,2,558.7,0
291,1,535.32,1
2,15,6924.11,0
30,3,409.5,0
22,2,503.76,0
22,4,414.76,0
3,3,974.42,0
84,1,211.32,0
21,4,1226.89,0
195,3,455.88,1
106,3,534.85,0
3,13,9818.82,0
317,1,120.95,1
105,3,149.05,0
11,18,5655.91,0
173,2,513.7,1
55,1,81.57,0
322,1,229.47,1
371,1,50.550000000000004,1
